N,lambda,R,min_P2,rho_at_min,P2_negative,n_valid
2,0.12742749857031335,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.12742749857031335,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.23357214690901212,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.42813323987193913,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.7847599703514607,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
